product,product_group,product_type,franchise,gender,margin,yearly_targets,daily_targets,country,channel,rrp,sales_qty,discount,sales,cost price,profit,date,image_url
Product 4F4TV,Group B,Type Z,Franchise A,M,0.1,200000,547.9452055,Country C,Channel Z,30,327,0.05,4694.5,1995,199.5,28-10-2022,http://assets.myntassets.com/v1/images/style/properties/7a5b82d1372a7a5c6de67ae7a314fd91_images.jpg
Product SVMFN,Group C,Type Z,Franchise C,M,0.2,300000,821.9178082,Country B,Channel Y,20,325,0.1,3850,1125,225,14-04-2022,http://assets.myntassets.com/v1/images/style/properties/4850873d0c417e6480a26059f83aac29_images.jpg
Product LNR6D,Group A,Type Y,Franchise A,M,0.1,100000,273.9726027,Country C,Channel Y,30,330,0.05,4780,2072.727273,207.2727273,04-02-2022,http://assets.myntassets.com/v1/images/style/properties/Titan-Women-Silver-Watch_b4ef04538840c0020e4829ecc042ead1_images.jpg
Product 8LYW4,Group A,Type Y,Franchise B,M,0.3,300000,821.9178082,Country B,Channel Z,30,308,0.1,4066,1204.615385,361.3846154,10-07-2022,http://assets.myntassets.com/v1/images/style/properties/8153dc35d9a5420eeb93922067137db6_images.jpg
Product 58LYO,Group B,Type X,Franchise C,M,0.3,100000,273.9726027,Country A,Channel X,30,297,0.1,3769,976.1538462,292.8461538,13-12-2022,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Grey-T-shirt_32668f8a61454d0cc028a808cf21b383_images.jpg
Product 8DZSW,Group C,Type Z,Franchise A,M,0.2,300000,821.9178082,Country A,Channel X,30,256,0.15,2653,127.5,25.5,17-11-2022,http://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg
Product 5TR9U,Group C,Type X,Franchise A,M,0.1,200000,547.9452055,Country B,Channel X,20,275,0.1,2950,409.0909091,40.90909091,10-12-2022,http://assets.myntassets.com/v1/images/style/properties/06e9d4231254fdb2c7fe967ad413ad7b_images.jpg
Product BOFIR,Group A,Type Y,Franchise C,M,0.1,300000,821.9178082,Country B,Channel X,20,297,0.15,3299,726.3636364,72.63636364,20-01-2022,http://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg
Product OQ49K,Group A,Type X,Franchise C,M,0.1,200000,547.9452055,Country C,Channel X,10,259,0.15,2576.5,69.54545455,6.954545455,27-02-2022,http://assets.myntassets.com/v1/images/style/properties/4ca8848ab441378a392d9d5bf0b0f3c7_images.jpg
Product HQGZ2,Group B,Type Z,Franchise A,M,0.3,200000,547.9452055,Country C,Channel X,20,306,0.05,3564,818.4615385,245.5384615,18-03-2022,http://assets.myntassets.com/v1/images/style/properties/Skagen-Men-Black-Watch_4982b2b1a76a85a85c9adc8b4b2d523a_images.jpg
Product M7MLQ,Group C,Type Y,Franchise B,M,0.1,300000,821.9178082,Country A,Channel Y,30,293,0.05,3725.5,1114.090909,111.4090909,13-02-2022,http://assets.myntassets.com/v1/images/style/properties/051d64772f1b38ff476fbf0a807f365a_images.jpg
Product PWW0R,Group B,Type Z,Franchise C,M,0.2,100000,273.9726027,Country B,Channel X,20,296,0.15,3282,651.6666667,130.3333333,25-03-2022,http://assets.myntassets.com/v1/images/style/properties/8eee4563e14cf451b07f27761fd6535f_images.jpg
Product 8PBFO,Group B,Type Z,Franchise A,M,0.3,100000,273.9726027,Country B,Channel Z,30,256,0.15,2653,117.6923077,35.30769231,22-07-2022,http://assets.myntassets.com/v1/images/style/properties/53690e3f396f411e184b249672d6ebae_images.jpg
Product MUH6P,Group A,Type X,Franchise A,M,0.2,300000,821.9178082,Country A,Channel Z,30,309,0.1,4093,1327.5,265.5,29-01-2022,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Blue-Handbag_13cfaff26872c298112a8e7da15c1e1d_images.jpg
Product T5QO0,Group C,Type Y,Franchise A,M,0.3,200000,547.9452055,Country A,Channel X,20,287,0.1,3166,512.3076923,153.6923077,16-01-2022,http://assets.myntassets.com/v1/images/style/properties/5cab6a2305d0e63142f721228aa6d293_images.jpg
Product 7PC36,Group B,Type Z,Franchise A,M,0.1,100000,273.9726027,Country A,Channel Y,30,312,0.15,4081,1437.272727,143.7272727,15-07-2022,http://assets.myntassets.com/v1/images/style/properties/8bc9be576081baae77e8561b1132288f_images.jpg
Product MK87P,Group B,Type Z,Franchise A,M,0.1,300000,821.9178082,Country B,Channel Y,10,294,0.1,2896,360,36,16-11-2022,http://assets.myntassets.com/v1/images/style/properties/Police-Men-Black-Dial-Watch_5bd8cae4fc61052a6f00cfcd69c4a936_images.jpg
